sid,oc,vv,frame_size,perc,frame
30420im,1.1264956123578809,-0.254300864249565,410,1.8507153625,Medium
30420im,0.2310947097203718,-0.293691398359897,645,1.717132325,Large
30420im,0.3112208246859947,1.4780358046165472,880,2.744846309,Extra Large
30421sg,2.5537327986386167,-0.7854294314250119,175,2.0338490685,Small
30421sg,1.097050545072761,1.6822022262435583,410,1.3897581964999999,Medium
30421sg,1.32025132655141,1.4438864667668119,645,1.46402564,Large
30421sg,1.0119366096630782,0.5772079390661173,880,1.45836852,Extra Large
30425mk,1.614401861693251,2.3711498701426335,175,1.8614035219999998,Small
30425mk,1.6797163911334196,1.122952122753618,410,1.7345324620000002,Medium
30425mk,0.5564676532180802,0.5293785059908336,645,2.1550833349999996,Large
30425mk,0.5959282389621494,0.4032988614702391,880,0.918022398,Extra Large
30428jl,0.620278027841433,1.218286991632494,175,1.3126594235,Small
30428jl,0.2745630500112539,-0.2811734781612798,410,0.476056072,Medium
30428jl,0.5466733238561443,-0.9126914687886352,645,0.9318813425000001,Large
30428jl,-0.553880341727016,-2.1026115907077934,880,0.5644258515,Extra Large
30501rb,1.3926694932681103,0.5442134541785251,175,1.5032452004999999,Small
30501rb,0.05062778040482696,0.8207754988934466,410,1.2357286079999998,Medium
30501rb,0.32362915326144814,0.5055669931711385,645,0.9063964850000001,Large
30501rb,0.3432218878872386,0.6204203991194042,880,1.068642495,Extra Large
30502ah,2.5356257909001405,3.518854717100792,175,4.6056693465,Small
30502ah,3.1202150328812914,6.860366550561256,410,6.679052737,Medium
30502ah,2.8526613249287744,5.2670651592591415,645,4.7723041535,Large
30502ah,2.736618245495744,8.969263638847774,880,5.799504531999999,Extra Large
30502mm,1.0854258637941185,2.561068966046583,175,1.38390477,Small
30502mm,1.5141432048634567,-0.5427663529963738,410,1.9573258285,Medium
30502mm,1.1999187226640118,-1.039813154810826,645,0.9664303255,Large
30502mm,1.1348724749292347,-1.272010316806822,880,1.1482922924999999,Extra Large
30504lp,3.0215314649454337,1.3976633100835227,175,1.8280778945,Small
30504lp,0.5840466355991694,1.854873324551277,410,1.306705693,Medium
30504lp,0.9732657077144566,1.0747995002749298,645,0.9762537835,Large
30504lp,0.8138944359446221,1.1274076155817163,880,1.0600127865,Extra Large
30505pp,2.0374965172486275,1.2126997467042304,175,1.6442880295,Small
30505pp,-0.35906429662230943,3.5128052651096797,410,1.6676001695,Medium
30505pp,-3.379631034994348,1.074290702764263,645,0.6956632065,Large
30505pp,-1.3968468609415026,0.6690668637821515,880,0.016432187499999973,Extra Large
30508ab,1.4119261788105693,-0.4223438527095187,175,1.0479863260000002,Small
30508ab,1.3540416306414007,0.16413743037751516,410,1.187311088,Medium
30508ab,-0.3190808130666709,0.2283960261536958,645,0.6696601215000001,Large
30508ab,1.0681092580252907,-0.576712829075595,880,0.25056253250000005,Extra Large
30509aa,4.08686126574381,1.655816313297199,175,3.4342047119999997,Small
30509aa,0.3930847255407546,1.1422017651976155,410,1.984194178,Medium
30509aa,3.048784732198369,0.9031139987168981,645,2.9145711619999997,Large
30509aa,1.9462987095295334,1.1694172457569516,880,3.0181205484999998,Extra Large
30511ki,1.989279550365147,2.0000875360965242,175,1.729832736,Small
30511ki,1.3270222487240406,0.4924990565514653,410,1.840299293,Medium
30511ki,1.0877646967411079,0.8806017221072073,645,1.7717369719999998,Large
30511ki,1.2011056609879298,0.9476747689711467,880,2.1491998965,Extra Large
30516dl,2.1618429621763418,1.8882236507536474,175,2.1652795355,Small
30516dl,1.8671640956506002,0.17185369459907518,410,1.3753067085000001,Medium
30516dl,0.8910950447178285,1.0535668613178166,645,1.4728941254999999,Large
30516dl,1.8054419096201921,-0.45325150839183054,880,1.0205445174999999,Extra Large
30516gm,3.0910001286862476,0.565389857509689,175,2.98972556,Small
30516gm,1.9602116840036068,0.7164786499112629,410,1.7404091615,Medium
30516gm,1.1387715398985132,1.0217520242418339,645,1.0582064515,Large
30516gm,0.5526134794226718,-0.05094095730204895,880,1.2867176205000002,Extra Large
30530iw,2.300240113109142,4.530063351867962,175,4.2093074915,Small
30530iw,1.8114224742377023,3.3219958550616995,410,3.062846135,Medium
30530iw,2.6107736937786497,5.292487733036918,645,2.8978667719999995,Large
30530iw,0.5386793372246967,2.3164546147125247,880,2.1745941495,Extra Large
30530tl,2.175164716693855,-1.3482465515536077,175,5.049783720000001,Small
30530tl,0.21471817614234023,1.1834465014050761,410,4.6800847715,Medium
30530tl,-1.4712451600057497,1.7659797975984222,645,2.6768540045,Large
30530tl,2.6581514824904247,2.273223455788359,880,3.1858507665,Extra Large
30602kh,3.77477632043544,0.8916104525653397,175,2.1972387355,Small
