"","sid","frame_size","magnitude","task"
"215","31013kt","Large",0.280405991,"perception"
"216","31013kt","Extra Large",0.2088504025,"perception"
"217","31016cm","Small",2.090791752,"perception"
"218","31016cm","Medium",2.2113218165,"perception"
"219","31016cm","Large",0.7613766155,"perception"
"220","31016cm","Extra Large",1.634720335,"perception"
"221","31020md","Small",2.5991781135,"perception"
"222","31020md","Medium",2.020856689,"perception"
"223","31020md","Large",2.0344190415,"perception"
"224","31020md","Extra Large",2.201218744,"perception"
"225","31031dm","Small",1.681953677,"perception"
"226","31031dm","Medium",1.4970250455,"perception"
"227","31031dm","Large",1.6678206035,"perception"
"228","31031dm","Extra Large",2.148685396,"perception"
"229","31031ki","Small",2.215665669,"perception"
"230","31031ki","Medium",1.732892799,"perception"
"231","31031ki","Large",1.2221755195,"perception"
"232","31031ki","Extra Large",1.391331528,"perception"
"233","31101ch","Small",1.351559024,"perception"
"234","31101ch","Medium",1.043337548,"perception"
"235","31101ch","Large",1.0082547055,"perception"
"236","31101ch","Extra Large",0.5887266645,"perception"
"237","31103is","Small",3.3965533775,"perception"
"238","31103is","Medium",2.9940716985,"perception"
"239","31103is","Large",2.598779572,"perception"
"240","31103is","Extra Large",2.992458734,"perception"
"241","31103tg","Small",0.7942417195,"perception"
"242","31103tg","Medium",0.194393006,"perception"
"243","31103tg","Large",0.5442746725,"perception"
"244","31103tg","Extra Large",0.929631147,"perception"
"245","31106mh","Small",1.2486508075,"perception"
"246","31106mh","Medium",0.7446350125,"perception"
"247","31106mh","Large",0.3859570315,"perception"
"248","31106mh","Extra Large",0.6662685535,"perception"
"249","31107sl","Small",2.5434344455,"perception"
"250","31107sl","Medium",2.30468616,"perception"
"251","31107sl","Large",2.881412197,"perception"
"252","31107sl","Extra Large",2.920550926,"perception"
"253","31108be","Small",1.6712586505,"perception"
"254","31108be","Medium",2.169106559,"perception"
"255","31108be","Large",0.862440873,"perception"
"256","31108be","Extra Large",0.7834748285,"perception"
"257","31113kk","Small",2.6857620425,"perception"
"258","31113kk","Medium",2.892856022,"perception"
"259","31113kk","Large",2.731377859,"perception"
"260","31113kk","Extra Large",2.138724332,"perception"
"261","31114kp","Small",-0.0827382059999999,"perception"
"262","31114kp","Medium",0.198589904,"perception"
"263","31114kp","Large",0.228132703,"perception"
"264","31114kp","Extra Large",-0.502632051,"perception"
"265","31114mc","Small",4.1500895125,"perception"
"266","31114mc","Medium",2.783176437,"perception"
"267","31114mc","Large",1.468823251,"perception"
"268","31114mc","Extra Large",1.7147925865,"perception"
"269","31115sr","Small",3.235660777,"perception"
"270","31115sr","Medium",1.78148901,"perception"
"271","31115sr","Large",2.448515694,"perception"
"272","31115sr","Extra Large",1.4185363245,"perception"
"273","31116cm","Small",0.670102859,"perception"
"274","31116cm","Medium",0.785485265,"perception"
