"","sid","frame_size","s2r","perception"
"180","30613kb","Extra Large",-0.194686183266734,1.664689997
"181","30613th","Small",-3.13860440315462,2.5809940415
"182","30613th","Medium",-0.884545464698283,1.4550933435
"183","30613th","Large",-0.68147735589091,0.8334887875
"184","30613th","Extra Large",-0.872573635345449,1.0330360225
"185","30907tg","Small",-1.35324418833968,1.835340502
"186","30907tg","Medium",2.27904582850283,1.6294848155
"187","30907tg","Large",-1.02776724709954,0.9732404515
"188","30907tg","Extra Large",-0.918283353175186,1.4035771925
"189","30912cg","Small",-0.992965975128243,2.3109524965
"190","30912cg","Medium",-0.133475752915322,2.0465951225
"191","30912cg","Large",0.122396971040024,2.050959353
"192","30912cg","Extra Large",-0.0439462911413244,1.7881521205
"193","30912kf","Small",-1.9437676625176,2.141067483
"194","30912kf","Medium",-1.26410398962577,1.716381125
"195","30912kf","Large",-1.56144303071652,1.776715169
"196","30912kf","Extra Large",-2.68509344514433,1.758542284
"197","30913my","Small",-1.94781817547973,2.434796229
"198","30913my","Medium",-1.73078905407744,1.5969353315
"199","30913my","Large",-0.244138915648515,1.4130787375
"200","30913my","Extra Large",-0.555355640607218,1.305285044
"201","30914ms","Small",-0.40351979440753,0.361093725
"202","30914ms","Medium",-0.118794183402018,3.5365030205
"203","30914ms","Large",0.519102677872111,1.2020311535
"204","30914ms","Extra Large",0.0274443790077781,0.8949280775
"205","30915vb","Small",-0.647741828861349,0.9123847645
"206","30915vb","Medium",-0.539994124591963,1.9349985965
"207","30915vb","Large",-0.675302885680308,2.167608025
"208","30915vb","Extra Large",-0.721814067040026,3.303085423
"209","31006st","Small",-2.5075377885174,4.7698183805
"210","31006st","Medium",-1.26406985092174,4.60350603
"211","31006st","Large",1.76667948116691,4.449167529
"212","31006st","Extra Large",-4.7611473229101,3.127633939
"213","31013kt","Small",-0.920870251816241,0.5062653165
"214","31013kt","Medium",-0.235645603454661,0.15005784
"215","31013kt","Large",0.643373890879917,0.280405991
"216","31013kt","Extra Large",-0.127849204123181,0.2088504025
"217","31016cm","Small",-1.25378310429368,2.090791752
"218","31016cm","Medium",-0.625780438770561,2.2113218165
"219","31016cm","Large",-0.923044262902462,0.7613766155
"220","31016cm","Extra Large",-1.84612124335512,1.634720335
"221","31020md","Small",-2.5618382930179,2.5991781135
"222","31020md","Medium",0.137299783399728,2.020856689
"223","31020md","Large",0.0412393042294086,2.0344190415
"224","31020md","Extra Large",-0.368906987519437,2.201218744
"225","31031dm","Small",-2.70941323218148,1.681953677
"226","31031dm","Medium",-1.59674310180009,1.4970250455
"227","31031dm","Large",-2.94959478201399,1.6678206035
"228","31031dm","Extra Large",-1.23619354899417,2.148685396
"229","31031ki","Small",-0.975371891015999,2.215665669
"230","31031ki","Medium",-1.4214590921617,1.732892799
"231","31031ki","Large",-1.52283473201539,1.2221755195
"232","31031ki","Extra Large",-1.02278297918098,1.391331528
"233","31101ch","Small",-1.76184092068124,1.351559024
"234","31101ch","Medium",1.50274829566804,1.043337548
"235","31101ch","Large",-0.22733692620929,1.0082547055
"236","31101ch","Extra Large",-0.155373404240628,0.5887266645
"237","31103is","Small",0.453472594992101,3.3965533775
"238","31103is","Medium",-2.79487930253339,2.9940716985
"239","31103is","Large",-4.00952952274381,2.598779572
"240","31103is","Extra Large",-0.268759773545327,2.992458734
"241","31103tg","Small",-0.907641566069577,0.7942417195
"242","31103tg","Medium",0.310389138774506,0.194393006
"243","31103tg","Large",0.365811344885555,0.5442746725
"244","31103tg","Extra Large",-0.345247397385436,0.929631147
"245","31106mh","Small",-1.43419306223031,1.2486508075
"246","31106mh","Medium",2.39255985849229,0.7446350125
"247","31106mh","Large",2.61366910592548,0.3859570315
"248","31106mh","Extra Large",2.57436833622319,0.6662685535
"249","31107sl","Small",-4.20382998593578,2.5434344455
"250","31107sl","Medium",-2.7743302541287,2.30468616
"251","31107sl","Large",-2.07017540651472,2.881412197
"252","31107sl","Extra Large",-1.52536722996736,2.920550926
"253","31108be","Small",-1.33137331081816,1.6712586505
"254","31108be","Medium",-1.06657932116193,2.169106559
"255","31108be","Large",-0.332127302943819,0.862440873
"256","31108be","Extra Large",-1.26216727900502,0.7834748285
"257","31113kk","Small",-0.986126557547507,2.6857620425
"258","31113kk","Medium",-0.56615990260644,2.892856022
"259","31113kk","Large",-0.668329722418557,2.731377859
"260","31113kk","Extra Large",0.274869401241246,2.138724332
"261","31114kp","Small",0.0578080397189824,-0.0827382059999999
"262","31114kp","Medium",-0.251261010527,0.198589904
"263","31114kp","Large",0.314501883501733,0.228132703
"264","31114kp","Extra Large",0.418770139683983,-0.502632051
"265","31114mc","Small",-1.37984561122602,4.1500895125
