"","sid","frame_size","cw","ccw","frame_effect_perception","magnitude"
"96","p30417mg","Extra Large",-1.129355662,-4.864957666,1.867801002,1.867801002
"97","p30418sf","Small",0.592819377,-2.089794208,1.3413067925,1.3413067925
"98","p30418sf","Medium",0.080233386,-2.334509829,1.2073716075,1.2073716075
"99","p30418sf","Large",0.721333383,-2.008354066,1.3648437245,1.3648437245
"100","p30418sf","Extra Large",-0.183703277,-2.068037337,0.94216703,0.94216703
"101","p30420im","Small",1.370695496,-0.340166082,0.855430789,0.855430789
"102","p30420im","Medium",1.56473249,-2.136698235,1.8507153625,1.8507153625
"103","p30420im","Large",1.676269608,-1.757995042,1.717132325,1.717132325
"104","p30420im","Extra Large",2.135617486,-3.354075132,2.744846309,2.744846309
"105","p30421sg","Small",2.642677286,-1.425020851,2.0338490685,2.0338490685
"106","p30421sg","Medium",1.358854576,-1.420661817,1.3897581965,1.3897581965
"107","p30421sg","Large",1.154038465,-1.774012815,1.46402564,1.46402564
"108","p30421sg","Extra Large",1.462722488,-1.454014552,1.45836852,1.45836852
"109","p30425mk","Small",-0.98008553,-4.702892574,1.861403522,1.861403522
"110","p30425mk","Medium",-1.108657085,-4.577722009,1.734532462,1.734532462
"111","p30425mk","Large",-0.433335407,-4.743502077,2.155083335,2.155083335
"112","p30425mk","Extra Large",-2.067171468,-3.903216264,0.918022398,0.918022398
"113","p30428jl","Small",3.061653446,0.436334599,1.3126594235,1.3126594235
"114","p30428jl","Medium",1.745147306,0.793035162,0.476056072,0.476056072
"115","p30428jl","Large",2.913250677,1.049487992,0.9318813425,0.9318813425
"116","p30428jl","Extra Large",2.274411465,1.145559762,0.5644258515,0.5644258515
"117","p30501rb","Small",3.048793698,0.042303297,1.5032452005,1.5032452005
"118","p30501rb","Medium",2.597901956,0.12644474,1.235728608,1.235728608
"119","p30501rb","Large",2.35636494,0.54357197,0.906396485,0.906396485
"120","p30501rb","Extra Large",2.379080432,0.241795442,1.068642495,1.068642495
"121","p30502ah","Small",0.802620972,-8.408717721,4.6056693465,4.6056693465
"122","p30502ah","Medium",1.975482344,-11.38262313,6.679052737,6.679052737
"123","p30502ah","Large",2.185637283,-7.358971024,4.7723041535,4.7723041535
"124","p30502ah","Extra Large",1.975913313,-9.623095751,5.799504532,5.799504532
"125","p30502mm","Small",3.121072572,0.353263032,1.38390477,1.38390477
"126","p30502mm","Medium",2.728790739,-1.185860918,1.9573258285,1.9573258285
"127","p30502mm","Large",2.932588146,0.999727495,0.9664303255,0.9664303255
"128","p30502mm","Extra Large",2.749620646,0.453036061,1.1482922925,1.1482922925
"129","p30504lp","Small",0.54743794,-3.108717849,1.8280778945,1.8280778945
"130","p30504lp","Medium",-0.199667098,-2.813078484,1.306705693,1.306705693
"131","p30504lp","Large",-1.000005801,-2.952513368,0.9762537835,0.9762537835
"132","p30504lp","Extra Large",-0.897196369,-3.017221942,1.0600127865,1.0600127865
"133","p30505pp","Small",1.992742219,-1.29583384,1.6442880295,1.6442880295
"134","p30505pp","Medium",1.951129753,-1.384070586,1.6676001695,1.6676001695
