"","sid","FRAME_SIZE_VAL","ccw","cw","frame_effect_r"
"35","r30301av","Large",-3.22838674690502,-4.54090127152005,0.656257262307515
"36","r30301av","Extra Large",-3.31547032087884,-4.95126788783203,0.817898783476596
"37","r30301sb","Small",-1.4927516343593,-3.13576629392199,0.821507329781346
"38","r30301sb","Medium",-3.16910860400176,-3.2646087709874,0.0477500834928177
"39","r30301sb","Large",-2.52761313160417,-5.06884603119956,1.27061644979769
"40","r30301sb","Extra Large",-5.98261171503661,-4.69313636207765,-0.64473767647948
"41","r30302sw","Small",0.820415860696174,-2.24759452563116,1.53400519316367
"42","r30302sw","Medium",1.61129325742699,-1.79357694326986,1.70243510034842
"43","r30302sw","Large",2.064240858266,-2.2018088277001,2.13302484298305
"44","r30302sw","Extra Large",2.25438905293277,-1.36751668940439,1.81095287116858
"45","r30303nm","Small",-5.7434444336694,-6.64683720265658,0.451696384493592
"46","r30303nm","Medium",-7.72053743228657,-6.53942870050126,-0.590554365892655
"47","r30303nm","Large",-6.73665701932423,-6.65523420567765,-0.040711406823291
"48","r30303nm","Extra Large",-11.5885302458004,-6.92386223425639,-2.332334005772
"49","r30303vm","Small",-0.415608142012789,8.60864322029692,-4.51212568115485
"50","r30303vm","Medium",5.03884558539141,-0.909368226325323,2.97410690585837
"51","r30303vm","Large",-1.94437869140732,-1.46322139944918,-0.240578645979071
"52","r30303vm","Extra Large",-1.56527146656141,-6.55877696826329,2.49675275085094
"53","r30308dh","Small",-4.12626772275171,-5.67212522340056,0.772928750324427
"54","r30308dh","Medium",-2.09814076545068,-4.48619191898908,1.1940255767692
"55","r30308dh","Large",-4.72907206137425,-3.6315190953976,-0.548776482988324
"56","r30308dh","Extra Large",-4.58157575144243,-5.27840787739961,0.348416062978588
"57","r30310kl","Small",-3.09398575156414,-5.46843544209287,1.18722484526436
"58","r30310kl","Medium",-5.77091244958574,-4.21406155580312,-0.778425446891308
"59","r30310kl","Large",-5.6684358100806,-4.66605007374785,-0.501192868166373
"60","r30310kl","Extra Large",-5.29210388502636,-5.38519168544442,0.046543900209028
"61","r30313jp","Small",-1.52136087276778,-1.97734885914535,0.227993993188782
"62","r30313jp","Medium",-2.38214728907749,-2.51303619929951,0.0654444551110096
"63","r30313jp","Large",-2.50366652053833,-2.67404042332582,0.0851869513937453
"64","r30313jp","Extra Large",-2.39426531912804,-2.85049749711337,0.228116088992664
"65","r30314am","Small",5.53083051890569,3.17473279144407,1.17804886373081
"66","r30314am","Medium",7.26941208459169,2.47208055106698,2.39866576676236
"67","r30314am","Large",6.37831856556245,0.599530479044073,2.88939404325919
"68","r30314am","Extra Large",6.22457886448246,2.73690633585117,1.74383626431564
"69","r30317em","Small",-7.02123787394093,-7.90776384790771,0.443262986983392
"70","r30317em","Medium",-6.6891569877836,-5.92826249862244,-0.380447244580576
"71","r30317em","Large",-8.0779990014886,-6.51335163039387,-0.782323685547362
"72","r30317em","Extra Large",-6.00528524679094,-5.8974060070259,-0.0539396198825193
"73","r30404jm","Small",-3.68316106054248,-6.66594545223854,1.49139219584803
"74","r30404jm","Medium",-9.66610336907813,-4.90026859284106,-2.38291738811853
"75","r30404jm","Large",-4.09897843241395,-4.72417747873414,0.312599523160094
"76","r30404jm","Extra Large",-3.9205583967259,-4.52015873288629,0.299800168080195
"77","r30406db","Small",6.54125257228062,-0.623232770752225,3.58224267151642
"78","r30406db","Medium",6.6078150384569,0.0217434346118246,3.29303580192254
"79","r30406db","Large",3.74514802326721,2.47137365403157,0.636887184617818
"80","r30406db","Extra Large",5.63130137544883,1.28208955972408,2.17460590786237
"81","r30410mc","Small",2.53058398320507,-5.61105822006102,4.07082110163304
"82","r30410mc","Medium",0.515431801114983,-1.5742450317537,1.04483841643434
"83","r30410mc","Large",-0.515410597959946,-0.840852185172069,0.162720793606062
"84","r30410mc","Extra Large",0.692537457716754,-1.87927886620829,1.28590816196252
"85","r30411ao","Small",4.18203700821415,1.06259512736466,1.55972094042474
"86","r30411ao","Medium",2.16560447812332,0.551545443805716,0.807029517158802
"87","r30411ao","Large",0.484683351269882,-2.87458172998411,1.679632540627
"88","r30411ao","Extra Large",0.893215863343828,-2.93057789791061,1.91189688062722
"89","r30414sh","Small",-1.18652583728044,-4.20575463852539,1.50961440062248
"90","r30414sh","Medium",-1.83589840626633,-1.0046078604665,-0.415645272899912
"91","r30414sh","Large",-1.77930819466058,-0.703011522573396,-0.538148336043592
"92","r30414sh","Extra Large",-0.618006267112334,-1.60163365733614,0.491813695111902
"93","r30417mg","Small",-3.21918367746096,-3.10425361672105,-0.0574650303699549
"94","r30417mg","Medium",-1.94111789828699,-1.95502105728979,0.0069515795014008
"95","r30417mg","Large",-2.65915757850818,-2.9498030141151,0.145322717803463
"96","r30417mg","Extra Large",-2.7147586404632,-1.77449430126899,-0.470132169597104
"97","r30418sf","Small",-6.42598424566202,-9.82849262340505,1.70125418887152
"98","r30418sf","Medium",-5.78936636363511,-8.8897151181507,1.5501743772578
"99","r30418sf","Large",-6.28407823579657,-11.0891541208432,2.40253794252331
"100","r30418sf","Extra Large",-5.7630048439253,-7.54964157548964,0.893318365782171
"101","r30420im","Small",1.74049791998001,0.433951748903333,0.653273085538336
"102","r30420im","Medium",2.04378538000973,-0.209205844706033,1.12649561235788
"103","r30420im","Large",-0.146224636605261,-0.608414056046005,0.231094709720372
"104","r30420im","Extra Large",0.0438729562822011,-0.578568693089788,0.311220824685995
"105","r30421sg","Small",9.37310536315438,4.26563976587715,2.55373279863862
"106","r30421sg","Medium",7.06273061491635,4.86862952477083,1.09705054507276
"107","r30421sg","Large",6.35005334579372,3.7095506926909,1.32025132655141
"108","r30421sg","Extra Large",6.18037765039275,4.15650443106659,1.01193660966308
"109","r30425mk","Small",0.0114466966413501,-3.21735702674515,1.61440186169325
"110","r30425mk","Medium",0.747992931538719,-2.61143985072812,1.67971639113342
"111","r30425mk","Large",-1.05875460940281,-2.17168991583897,0.55646765321808
"112","r30425mk","Extra Large",-0.540962975813638,-1.73281945373794,0.595928238962149
"113","r30428jl","Small",6.07261901884631,4.83206296316344,0.620278027841433
"114","r30428jl","Medium",6.18653871086176,5.63741261083925,0.274563050011254
"115","r30428jl","Large",5.12401665209682,4.03067000438453,0.546673323856144
"116","r30428jl","Extra Large",5.72819324925315,6.83595393270719,-0.553880341727016
"117","r30501rb","Small",-2.34478509533154,-5.13012408186776,1.39266949326811
"118","r30501rb","Medium",-3.48619360779518,-3.58744916860483,0.050627780404827
"119","r30501rb","Large",-3.46696684175671,-4.11422514827961,0.323629153261448
"120","r30501rb","Extra Large",-4.02199780530704,-4.70844158108152,0.343221887887239
"121","r30502ah","Small",-3.33122243153716,-8.40247401333744,2.53562579090014
"122","r30502ah","Medium",-2.80248555937506,-9.04291562513764,3.12021503288129
"123","r30502ah","Large",-3.32632536179012,-9.03164801164767,2.85266132492877
"124","r30502ah","Extra Large",-3.76791512261852,-9.24115161361001,2.73661824549574
"125","r30502mm","Small",-0.210824343940685,-2.38167607152892,1.08542586379412
"126","r30502mm","Medium",0.707994787334408,-2.32029162239251,1.51414320486346
"127","r30502mm","Large",-0.335513014738313,-2.73535046006634,1.19991872266401
"128","r30502mm","Extra Large",-0.625668557667896,-2.89541350752637,1.13487247492923
"129","r30504lp","Small",-2.65102209189136,-8.69408502178223,3.02153146494543
"130","r30504lp","Medium",-2.11442682303744,-3.28252009423578,0.584046635599169
"131","r30504lp","Large",-2.1711532207747,-4.11768463620361,0.973265707714457
"132","r30504lp","Extra Large",-2.76575480686105,-4.3935436787503,0.813894435944622
"133","r30505pp","Small",1.21617109310559,-2.85882194139167,2.03749651724863
"134","r30505pp","Medium",-1.35543185480558,-0.637303261560961,-0.359064296622309
"135","r30505pp","Large",-8.51298606753938,-1.75372399755068,-3.37963103499435
"136","r30505pp","Extra Large",-3.83588135387278,-1.04218763198977,-1.3968468609415
"137","r30508ab","Small",2.35012203527327,-0.473730322347867,1.41192617881057
"138","r30508ab","Medium",3.12838465134651,0.420301390063704,1.3540416306414
"139","r30508ab","Large",2.19730079295528,2.83546241908862,-0.319080813066671
"140","r30508ab","Extra Large",2.86698709318877,0.730768577138191,1.06810925802529
"141","r30509aa","Small",-4.53603068039553,-12.7097532118831,4.08686126574381
"142","r30509aa","Medium",-6.75580579430476,-7.54197524538626,0.393084725540755
"143","r30509aa","Large",-2.79615759422344,-8.89372705862018,3.04878473219837
"144","r30509aa","Extra Large",-4.06249784289222,-7.95509526195128,1.94629870952953
"145","r30511ki","Small",6.06117587042056,2.08261676969027,1.98927955036515
"146","r30511ki","Medium",6.26166898865597,3.60762449120789,1.32702224872404
"147","r30511ki","Large",5.70329771433777,3.52776832085556,1.08776469674111
"148","r30511ki","Extra Large",5.94452221641255,3.54231089443669,1.20110566098793
"149","r30516dl","Small",1.72076288761038,-2.6029230367423,2.16184296217634
"150","r30516dl","Medium",1.41722210438977,-2.31710608691143,1.8671640956506
"151","r30516dl","Large",0.355649636632561,-1.4265404528031,0.891095044717829
"152","r30516dl","Extra Large",1.4281654575113,-2.18271836172908,1.80544190962019
"153","r30516gm","Small",-3.74996190371756,-9.93196216109006,3.09100012868625
"154","r30516gm","Medium",-4.96857796919516,-8.88900133720238,1.96021168400361
"155","r30516gm","Large",-6.08743489174084,-8.36497797153786,1.13877153989851
"156","r30516gm","Extra Large",-7.44601730172911,-8.55124426057445,0.552613479422672
"157","r30530iw","Small",2.99815641517635,-1.60232381104194,2.30024011310914
"158","r30530iw","Medium",2.12744519274988,-1.49539975572552,1.8114224742377
"159","r30530iw","Large",2.91331903335196,-2.30822835420534,2.61077369377865
"160","r30530iw","Extra Large",0.336220249340872,-0.741138425108521,0.538679337224697
"161","r30530tl","Small",-2.8773734839704,-7.22770291735811,2.17516471669386
"162","r30530tl","Medium",-3.05720384380751,-3.48664019609219,0.21471817614234
"163","r30530tl","Large",-2.5047672200868,0.437723099924694,-1.47124516000575
"164","r30530tl","Extra Large",-3.40530637386177,-8.72160933884262,2.65815148249042
"165","r30602kh","Small",6.58934410282642,-0.960208538044464,3.77477632043544
"166","r30602kh","Medium",5.25382712834991,2.45721785930392,1.39830463452299
"167","r30602kh","Large",3.80850321089793,0.945991570935264,1.43125581998133
"168","r30602kh","Extra Large",5.91633508223417,1.50017016593658,2.20808245814879
"169","r30606tw","Small",0.537238713149509,-1.38201114945357,0.959624931301539
"170","r30606tw","Medium",0.536743412735704,-2.4582423924301,1.4974929025829
"171","r30606tw","Large",0.708913139322141,-0.0117659880867708,0.360339563704456
"172","r30606tw","Extra Large",-0.17193722806585,-1.53805366397642,0.683058217955286
"173","r30608at","Small",-1.69682070580413,-1.25476582915853,-0.221027438322801
"174","r30608at","Medium",-0.155883996825628,-0.604808687843155,0.224462345508763
"175","r30608at","Large",-0.549027687798011,-1.4615210634531,0.456246687827546
"176","r30608at","Extra Large",-1.32395607339699,-0.3304748273084,-0.496740623044294
"177","r30613kb","Small",1.77116548089043,-2.37712865409277,2.0741470674916
"178","r30613kb","Medium",0.777041817963738,-0.511738222991916,0.644390020477827
"179","r30613kb","Large",0.791753763501367,-0.0598392747790657,0.425796519140216
"180","r30613kb","Extra Large",0.0370374446869537,-0.352334921846514,0.194686183266734
"181","r30613th","Small",6.13159017520198,-0.145618631107261,3.13860440315462
"182","r30613th","Medium",3.95543239586517,2.1863414664686,0.884545464698283
"183","r30613th","Large",2.72642459502795,1.36346988324613,0.68147735589091
"184","r30613th","Extra Large",3.42876160843338,1.68361433774248,0.872573635345449
"185","r30907tg","Small",-7.13860197331279,-9.84509034999216,1.35324418833968
"186","r30907tg","Medium",-7.96526834272576,-3.40717668572009,-2.27904582850283
"187","r30907tg","Large",-7.46737394853218,-9.52290844273125,1.02776724709954
"188","r30907tg","Extra Large",-7.10820014717803,-8.9447668535284,0.918283353175186
"189","r30912cg","Small",-6.01257698159485,-7.99850893185134,0.992965975128243
"190","r30912cg","Medium",-6.85900568508744,-7.12595719091808,0.133475752915322
"191","r30912cg","Large",-5.00777966030428,-4.76298571822424,-0.122396971040024
"192","r30912cg","Extra Large",-5.16740377912367,-5.25529636140632,0.0439462911413244
"193","r30912kf","Small",-4.93366363925917,-8.82119896429437,1.9437676625176
"194","r30912kf","Medium",-5.64289740974655,-8.1711053889981,1.26410398962577
"195","r30912kf","Large",-5.16475564025252,-8.28764170168557,1.56144303071652
"196","r30912kf","Extra Large",-4.26165492304478,-9.63184181333344,2.68509344514433
"197","r30913my","Small",-1.17533927779784,-5.0709756287573,1.94781817547973
"198","r30913my","Medium",-0.0201102325982592,-3.48168834075314,1.73078905407744
"199","r30913my","Large",-0.567915749172772,-1.0561935804698,0.244138915648515
"200","r30913my","Extra Large",0.245067243081769,-0.865644038132667,0.555355640607218
"201","r30914ms","Small",3.98111495559122,3.17407536677616,0.40351979440753
"202","r30914ms","Medium",4.30941266934668,4.07182430254264,0.118794183402018
"203","r30914ms","Large",2.95869709141856,3.99690244716278,-0.519102677872111
"204","r30914ms","Extra Large",3.3112050122036,3.36609377021916,-0.0274443790077781
"205","r30915vb","Small",-2.32819179749204,-3.62367545521474,0.647741828861349
"206","r30915vb","Medium",-1.97049321296991,-3.05048146215383,0.539994124591963
"207","r30915vb","Large",-2.90552477855724,-4.25613054991785,0.675302885680308
"208","r30915vb","Extra Large",-2.15235418359686,-3.59598231767692,0.721814067040026
"209","r31006st","Small",-2.46380512230571,-7.47888069934051,2.5075377885174
"210","r31006st","Medium",-3.17566537538271,-5.70380507722619,1.26406985092174
"211","r31006st","Large",-3.29841555539834,0.23494340693547,-1.76667948116691
"212","r31006st","Extra Large",2.08385100287735,-7.43844364294285,4.7611473229101
"213","r31013kt","Small",7.80278149201186,5.96104098837938,0.920870251816241
"214","r31013kt","Medium",6.54020065576179,6.06890944885247,0.235645603454661
"215","r31013kt","Large",5.42818147877148,6.71492926053132,-0.643373890879917
"216","r31013kt","Extra Large",6.43742715337409,6.18172874512772,0.127849204123181
"217","r31016cm","Small",10.0480332970213,7.54046708843392,1.25378310429368
"218","r31016cm","Medium",9.21711989338557,7.96555901584444,0.625780438770561
"219","r31016cm","Large",8.98855618852422,7.1424676627193,0.923044262902462
"220","r31016cm","Extra Large",10.2857874973491,6.59354501063889,1.84612124335512
"221","r31020md","Small",-0.362904363343145,-5.48658094937895,2.5618382930179
"222","r31020md","Medium",-2.68335737433124,-2.40875780753179,-0.137299783399728
"223","r31020md","Large",-3.39293071020609,-3.31045210174727,-0.0412393042294086
"224","r31020md","Extra Large",-2.84264848788895,-3.58046246292782,0.368906987519437
"225","r31031dm","Small",5.14274233687601,-0.27608412748696,2.70941323218148
"226","r31031dm","Medium",5.17414330447541,1.98065710087522,1.59674310180009
"227","r31031dm","Large",5.40485563848177,-0.494333925546207,2.94959478201399
"228","r31031dm","Extra Large",3.41221559310116,0.939828495112822,1.23619354899417
"229","r31031ki","Small",-1.16992595933573,-3.12066974136773,0.975371891015999
"230","r31031ki","Medium",-1.69627547116727,-4.53919365549067,1.4214590921617
"231","r31031ki","Large",-1.24693986975226,-4.29260933378304,1.52283473201539
"232","r31031ki","Extra Large",-2.81324469145731,-4.85881064981928,1.02278297918098
"233","r31101ch","Small",-1.03445002496083,-4.55813186632331,1.76184092068124
"234","r31101ch","Medium",-7.91352519198707,-4.90802860065098,-1.50274829566804
